unmapped_SMILES,mapped_SMILES
[H]-C(-C(-C)=O)-C(=O)-O-C(-[H])(-[H])-C(-[H])(-[H])-[H].[H]-O-c(:c):c(-[H]):c>>c:c1:o:c(=O):c:c(-C):c:1:c,[#1:1015]-[C:15](-[#1:2015])(-[#1:3015])-[C:16](-[#1:1016])(-[#1:2016])-[O:17]-[C:1](-[C:2](-[#1:2002])-[C:4](=[O:18])-[C:5])=[O:3].[c:6]:[c:7](-[O:11]-[#1:1011]):[c:10](-[#1:1010]):[c:14]>>[c:2]1:[c:1](=[O:3]):[o:11]:[c:7](:[c:6]):[c:10](:[c:14]):[c:4]:1-[C:5]
[H]-C(-[H])(-[H])-C(-[H])(-[H])-O-C(-C)=O>>[H]-O-C(-C)=O,[#1:1018]-[C:18](-[#1:2018])(-[#1:3018])-[C:19](-[#1:1019])(-[#1:2019])-[O:20]-[C:1](-[C:2])=[O:3]>>[#1:1021]-[O:21]-[C:1](-[C:2])=[O:3]
C-S(=O)(=O)-Cl.[H]-O-C>>C-O-S(-C)(=O)=O,[C:20]-[O:21]-[#1:1021].[C:25]-[S:22](-[Cl:26])(=[O:23])=[O:24]>>[C:20]-[O:21]-[S:22](=[O:23])(=[O:24])-[C:25]
[H]-C(-[H])(-[H])-C(-O-C(=O)-O-C(=O)-O)(-C(-[H])(-[H])-[H])-C(-[H])(-[H])-[H].[H]-N(-C)-C>>C-N(-C)-C(=O)-O,[#1:1019]-[C:19](-[#1:2019])(-[#1:3019])-[C:20](-[O:21]-[C:22](=[O:23])-[O:24]-[C:12](-[O:13])=[O:14])(-[C:25](-[#1:1025])(-[#1:2025])-[#1:3025])-[C:26](-[#1:1026])(-[#1:2026])-[#1:3026].[C:8]-[N:9](-[#1:1009])-[C:7]>>[C:8]-[N:9](-[C:12](-[O:13])=[O:14])-[C:7]
[H]-O-C-c>>c-C-Br,[#1:1014]-[O:14]-[C:11]-[c:9]>>[c:9]-[C:11]-[Br:15]
[H]-O-C.c-S(=O)(=O)-Cl>>C-O-S(-c)(=O)=O,[C:13]-[O:16]-[#1:1016].[c:2]-[S:1](-[Cl:17])(=[O:3])=[O:4]>>[c:2]-[S:1](=[O:3])(=[O:4])-[O:16]-[C:13]
[H]-C(-[H])(-[H])-O-C(-c)=O>>[H]-N(-[H])-N(-[H])-C(-c)=O,[#1:1013]-[C:13](-[#1:2013])(-[#1:3013])-[O:14]-[C:9](-[c:5])=[O:12]>>[#1:1015]-[N:15](-[#1:2015])-[N:16](-[#1:1016])-[C:9](-[c:5])=[O:12]
[H]-C(-[H])(-c)-C.c-C=O>>c-C=C(-c)-C,[c:1]-[C:4](-[#1:1004])(-[#1:2004])-[C:7].[c:19]-[C:20]=[O:21]>>[c:1]-[C:4](-[C:7])=[C:20]-[c:19]
C-C-Br.[H]-n(:c):c>>c:n(:c)-C-C,[C:8]-[C:13]-[Br:25].[c:14]:[n:17](:[c:21])-[#1:1017]>>[C:8]-[C:13]-[n:17](:[c:14]):[c:21]
[H]-O-B(-O-[H])-c(:c):c.c:c(:c)-I>>c:c(:c)-c(:c):c,[#1:1027]-[O:27]-[B:28](-[O:29]-[#1:1029])-[c:19](:[c:15]):[c:16].[c:20]:[c:21](-[I:30]):[c:23]>>[c:15]:[c:19](-[c:21](:[c:20]):[c:23]):[c:16]
