unmapped_SMILES,mapped_SMILES
[H]-O-C(-C)=O>>[H]-N(-[H])-C(-C)=O,[#1:1012]-[O:12]-[C:7](-[C:3])=[O:10]>>[#1:1013]-[N:13](-[#1:2013])-[C:7](-[C:3])=[O:10]
c-C#N>>[H]-N(-[H])-C(-[H])(-[H])-c,[c:1]-[C:4]#[N:8]>>[#1:1004]-[C:4](-[#1:2004])(-[c:1])-[N:8](-[#1:1008])-[#1:2008]
[H]-C(-[H])(-[H])-C(=O)-O-C(-C)=O.[H]-O-C>>C-O-C(-C)=O,[#1:1022]-[C:22](-[#1:2022])(-[#1:3022])-[C:23](=[O:24])-[O:25]-[C:1](=[O:2])-[C:3].[C:13]-[O:17]-[#1:1017]>>[C:3]-[C:1](=[O:2])-[O:17]-[C:13]
[H]-C(-[H])(-[H])-c>>[H]-O-C(-c)=O,[c:9]-[C:14](-[#1:1014])(-[#1:2014])-[#1:3014]>>[#1:1018]-[O:18]-[C:14](=[O:19])-[c:9]
[H]-C#C.c:c(:c)-I>>C#C-c(:c):c,[C:27]#[C:30]-[#1:1030].[c:1]:[c:2](-[I:37]):[c:5]>>[c:1]:[c:2](-[C:30]#[C:27]):[c:5]
[H]-C(-[H])-c>>c-C=O,[c:2]-[C:6](-[#1:2006])-[#1:3006]>>[c:2]-[C:6]=[O:10]
[H]-C(-[H])(-[H])-C(-[H])(-[H])-O-C(-c)=O>>[H]-N(-[H])-N(-[H])-C(-c)=O,[#1:1028]-[C:28](-[#1:2028])(-[#1:3028])-[C:29](-[#1:1029])(-[#1:2029])-[O:30]-[C:13](-[c:9])=[O:16]>>[#1:1031]-[N:31](-[#1:2031])-[N:32](-[#1:1032])-[C:13](-[c:9])=[O:16]
[H]-O-B(-O-[H])-c(:c):c.c:c(:c)-Cl>>c:c(:c)-c(:c):c,[#1:1025]-[O:25]-[B:26](-[O:27]-[#1:1027])-[c:1](:[c:2]):[c:3].[c:8]:[c:10](-[Cl:28]):[c:14]>>[c:2]:[c:1](-[c:10](:[c:8]):[c:14]):[c:3]
C-S-C>>C-S(-C)(=O)=O,[C:30]-[S:31]-[C:32]>>[C:30]-[S:31](=[O:33])(=[O:34])-[C:32]
C-C#C-C>>[H]-C(-C)=C(-[H])-C,[C:8]-[C:10]#[C:13]-[C:16]>>[C:8]-[C:10](-[#1:1010])=[C:13](-[#1:1013])-[C:16]
[H]-N(-[H])-C.[H]-N(-[H])-C.c-C=O.c-C=O>>c-C=N-C.c-C=N-C,[C:20]-[N:22](-[#1:1022])-[#1:2022].[C:21]-[N:23](-[#1:1023])-[#1:2023].[c:13]-[C:16]=[O:24].[c:2]-[C:6]=[O:25]>>[C:20]-[N:22]=[C:16]-[c:13].[c:2]-[C:6]=[N:23]-[C:21]
[H]-C(-[H])(-C)-C>>C-C(-C)=N=N,[C:7]-[C:11](-[#1:1011])(-[#1:2011])-[C:4]>>[C:7]-[C:11](=[N&+:26]=[N&-:27])-[C:4]
c-C(-C)=O>>[H]-C(-[H])(-c)-C,[c:1]-[C:4](=[O:26])-[C:9]>>[#1:1004]-[C:4](-[#1:2004])(-[c:1])-[C:9]
[H]-C(-[H])-N.c-C=O>>c-C=C-N,[C:36](-[#1:2036])(-[#1:3036])-[N&+:33].[c:19]-[C:22]=[O:37]>>[c:19]-[C:22]=[C:36]-[N&+:33]
[H]-C(-[H])(-c)-O>>c-C(=O)-O,[c:8]-[C:11](-[#1:1011])(-[#1:2011])-[O:12]>>[c:8]-[C:11](=[O:13])-[O:12]
O=C(-O)-Cl.[H]-N(-C)-C>>C-N(-C)-C(=O)-O,[C:1]-[N:3](-[#1:1003])-[C:7].[O:11]-[C:14](-[Cl:19])=[O:17]>>[C:1]-[N:3](-[C:14](-[O:11])=[O:17])-[C:7]
[H]-N(-C)-C.c-C-Br>>c-C-N(-C)-C,[C:13]-[N:15](-[#1:1015])-[C:14].[c:25]-[C:26]-[Br:27]>>[C:13]-[N:15](-[C:26]-[c:25])-[C:14]
[H]-C(-[H])(-[H])-C(=O)-O-C(-c)-O-C(=O)-C(-[H])(-[H])-[H]>>c-C=O,[#1:1008]-[C:8](-[#1:2008])(-[#1:3008])-[C:9](=[O:10])-[O:11]-[C:2](-[c:1])-[O:5]-[C:12](=[O:13])-[C:14](-[#1:1014])(-[#1:2014])-[#1:3014]>>[C:2](-[c:1])=[O:5]
[H]-N-c.c-C=O>>[H]-C(-c)-N-c,[c:16]-[C:21]=[O:22].[c:1]-[N:4]-[#1:2004]>>[c:1]-[N:4]-[C:21](-[#1:2021])-[c:16]
C-C=C-C>>[H]-C(-C)-C(-[H])-C,[C:7]-[C:10]=[C:15]-[C:16]>>[C:7]-[C:10](-[#1:2010])-[C:15](-[#1:2015])-[C:16]
c-C=O.c-C=O>>c-C=N-N=C-c,[c:8]-[C:10]=[O:29].[c:22]-[C:24]=[O:30]>>[c:8]-[C:10]=[N:31]-[N:32]=[C:24]-[c:22]
[H]-C(-[H])(-C)-O>>C-C(=O)-O,[C:18]-[C:21](-[#1:1021])(-[#1:2021])-[O:25]>>[C:18]-[C:21](=[O:28])-[O:25]
[H]-C(-[H])(-[H])-C(-O-C(=O)-N-C)(-C(-[H])(-[H])-[H])-C(-[H])(-[H])-[H]>>[H]-N-C,[#1:1014]-[C:14](-[#1:2014])(-[#1:3014])-[C:15](-[O:16]-[C:17](=[O:18])-[N:3]-[C:1])(-[C:19](-[#1:1019])(-[#1:2019])-[#1:3019])-[C:20](-[#1:1020])(-[#1:2020])-[#1:3020]>>[C:1]-[N:3]-[#1:2003]
C-S(=O)(=O)-Cl.[H]-N-c>>c-N-S(-C)(=O)=O,[Cl:16]-[S:9](-[C:10])(=[O:11])=[O:12].[c:7]-[N:8]-[#1:2008]>>[c:7]-[N:8]-[S:9](-[C:10])(=[O:11])=[O:12]
[H]-N-C.c-C(=O)-Cl>>C-N-C(-c)=O,[C:23]-[N:25]-[#1:2025].[c:10]-[C:11](-[Cl:26])=[O:12]>>[c:10]-[C:11](=[O:12])-[N:25]-[C:23]
[H]-N(-C)-C.c:c(:n)-Cl>>c:c(:n)-N(-C)-C,[C:2]-[N:5](-[#1:1005])-[C:6].[c:9]:[c:12](:[n:17])-[Cl:25]>>[C:2]-[N:5](-[c:12](:[c:9]):[n:17])-[C:6]
[H]-N-c.c:c(:n)-Cl>>c:c(:n)-N-c,[c:22]-[N:23]-[#1:2023].[c:1]:[c:4](:[n:9])-[Cl:24]>>[c:1]:[c:4](:[n:9])-[N:23]-[c:22]
[H]-C(-[H])(-[H])-C(=O)-O-C(-C)=O.[H]-O-c>>c-O-C(-C)=O,[#1:1024]-[C:24](-[#1:2024])(-[#1:3024])-[C:25](=[O:26])-[O:27]-[C:21](=[O:22])-[C:23].[c:14]-[O:18]-[#1:1018]>>[c:14]-[O:18]-[C:21](=[O:22])-[C:23]
[H]-C(-[H])(-c)-c>>c-C(-c)=O,[c:3]-[C:7](-[#1:1007])(-[#1:2007])-[c:10]>>[c:3]-[C:7](=[O:16])-[c:10]
[H]-c1:c(-[H]):c(-[H]):c(:c(-[H]):c:1-[H])-C(-[H])(-[H])-O-c>>[H]-O-c,[#1:1027]-[c:27]1:[c:28](-[#1:1028]):[c:29](-[#1:1029]):[c:30](-[C:31](-[#1:1031])(-[#1:2031])-[O:19]-[c:13]):[c:32](-[#1:1032]):[c:33]:1-[#1:1033]>>[c:13]-[O:19]-[#1:1019]
[H]-C(-[H])(-[H])-C(-O-C(=O)-n(:c):c)(-C(-[H])(-[H])-[H])-C(-[H])(-[H])-[H]>>[H]-n(:c):c,[#1:1025]-[C:25](-[#1:2025])(-[#1:3025])-[C:26](-[O:27]-[C:28](=[O:29])-[n:3](:[c:1]):[c:7])(-[C:30](-[#1:1030])(-[#1:2030])-[#1:3030])-[C:31](-[#1:1031])(-[#1:2031])-[#1:3031]>>[#1:1003]-[n:3](:[c:1]):[c:7]
[H]-C(-[H])(-[H])-C(-O-C)(-O-C)-C(-[H])(-[H])-[H]>>[H]-O-C.[H]-O-C,[#1:1028]-[C:28](-[#1:2028])(-[#1:3028])-[C:29](-[C:30](-[#1:1030])(-[#1:2030])-[#1:3030])(-[O:1]-[C:3])-[O:2]-[C:4]>>[#1:1001]-[O:1]-[C:3].[C:4]-[O:2]-[#1:1002]
C-I.[H]-O-c>>c-O-C,[C:1]-[I:22].[c:4]-[O:9]-[#1:1009]>>[C:1]-[O:9]-[c:4]
c-C(-c)=O>>[H]-O-C(-[H])(-c)-c,[c:19]-[C:20](-[c:21])=[O:22]>>[c:19]-[C:20](-[#1:1020])(-[c:21])-[O:22]-[#1:1022]
[H]-O-B(-O-[H])-c(:c):c.c:c(:n)-Cl>>c:c(:c)-c(:c):n,[#1:1030]-[O:30]-[B:31](-[O:32]-[#1:1032])-[c:18](:[c:19]):[c:20].[n:6]:[c:10](-[Cl:29]):[c:8]>>[n:6]:[c:10](-[c:18](:[c:19]):[c:20]):[c:8]
[H]-O-C(-c)=O>>[H]-N(-[H])-N(-[H])-C(-c)=O,[#1:1011]-[O:11]-[C:4](-[c:1])=[O:7]>>[#1:1012]-[N:12](-[#1:2012])-[N:13](-[#1:1013])-[C:4](-[c:1])=[O:7]
[H]-C(-c)=O>>c-C#N,[c:8]-[C:10](-[#1:1010])=[O:11]>>[c:8]-[C:10]#[N:12]
[H]-C1-C(-O-C(-O-C(-[H])(-[H])-[H])-C-1-[H])-O-C(-[H])(-[H])-[H].[H]-N(-[H])-C>>C-n1:c:c:c:c:1,[#1:1019]-[C:19](-[#1:2019])(-[#1:3019])-[O:20]-[C:1]1-[O:21]-[C:3](-[O:22]-[C:23](-[#1:1023])(-[#1:2023])-[#1:3023])-[C:4](-[#1:2004])-[C:2]-1-[#1:2002].[C:17]-[N:18](-[#1:1018])-[#1:2018]>>[c:1]1:[c:2]:[c:4]:[c:3]:[n:18]:1-[C:17]
[H]-n(:c):c.c:c(:c)-I>>c:c(:c)-n(:c):c,[c:37]:[c:39](-[I:40]):[c:38].[c:27]:[n:29](-[#1:1029]):[c:26]>>[c:27]:[n:29](-[c:39](:[c:37]):[c:38]):[c:26]
[H]-N(-[H])-c.[H]-N(-[H])-c.c-C=O.c-C=O>>c-C=N-c.c-C=N-c,[c:1]-[C:4]=[O:32].[c:9]-[C:12]=[O:33].[c:30]-[N:31](-[#1:1031])-[#1:2031].[c:26]-[N:29](-[#1:1029])-[#1:2029]>>[c:1]-[C:4]=[N:29]-[c:26].[c:30]-[N:31]=[C:12]-[c:9]
[H]-N-C.c:c(:n)-Cl>>c:c(:n)-N-C,[C:23]-[N:25]-[#1:2025].[c:1]:[c:3](:[n:7])-[Cl:26]>>[c:1]:[c:3](:[n:7])-[N:25]-[C:23]
[H]-C(-[H])(-C)-S.c-C=O>>c-C=C(-C)-S,[S:6]-[C:7](-[#1:1007])(-[#1:2007])-[C:3].[c:21]-[C:24]=[O:32]>>[S:6]-[C:7](=[C:24]-[c:21])-[C:3]
[H]-C(-[H])(-[H])-O-C(-c)=O>>[H]-O-C(-[H])(-[H])-c,[#1:1023]-[C:23](-[#1:2023])(-[#1:3023])-[O:24]-[C:8](-[c:3])=[O:14]>>[c:3]-[C:8](-[#1:1008])(-[#1:2008])-[O:14]-[#1:1014]
[H]-C(-c)=O.[H]-N-C(=O)-c(:c):c(:c)-N(-[H])-[H]>>c:c1:n:c(-c):n:c(=O):c:1:c,[c:11]-[C:14](-[#1:1014])=[O:18].[c:4]:[c:1](-[C:3](=[O:7])-[N:8]-[#1:2008]):[c:2](-[N:6](-[#1:1006])-[#1:2006]):[c:5]>>[c:4]:[c:1]1:[c:2](:[c:5]):[n:6]:[c:14](-[c:11]):[n:8]:[c:3]:1=[O:7]
C=C-C>>[H]-C-C(-[H])-C,[C:12]-[C:17]=[C:21]>>[C:12]-[C:17](-[#1:2017])-[C:21]-[#1:3021]
[H]-c1:c(-[H]):c(-[H]):c(:c(-[H]):c:1-[H])-C(-[H])(-[H])-O-C(-c)=O>>[H]-O-C(-c)=O,[#1:1021]-[c:21]1:[c:22](-[#1:1022]):[c:23](-[#1:1023]):[c:24](-[C:25](-[#1:1025])(-[#1:2025])-[O:26]-[C:19](-[c:18])=[O:20]):[c:27](-[#1:1027]):[c:28]:1-[#1:1028]>>[#1:1029]-[O:29]-[C:19](-[c:18])=[O:20]
[H]-C(-[H])(-[H])-C(-O-C(=O)-N-c)(-C(-[H])(-[H])-[H])-C(-[H])(-[H])-[H]>>[H]-N-c,[#1:1015]-[C:15](-[#1:2015])(-[#1:3015])-[C:16](-[O:17]-[C:18](=[O:19])-[N:6]-[c:2])(-[C:20](-[#1:1020])(-[#1:2020])-[#1:3020])-[C:21](-[#1:1021])(-[#1:2021])-[#1:3021]>>[N:6](-[#1:2006])-[c:2]
[H]-c(:c):c>>c:c(:c)-Cl,[c:26]:[c:30](-[#1:1030]):[c:27]>>[c:26]:[c:30](-[Cl:35]):[c:27]
[H]-O-B(-O-[H])-c(:c):c>>[H]-O-c(:c):c,[#1:1028]-[O:28]-[B:29](-[O:30]-[#1:1030])-[c:17](:[c:14]):[c:15]>>[#1:1031]-[O:31]-[c:17](:[c:14]):[c:15]
C#C-C.C-N=N=N>>C-c1:c:n(-C):n:n:1,[C:8]-[C:11]#[C:12].[C:14]-[N:16]=[N&+:18]=[N&-:20]>>[C:8]-[c:11]1:[c:12]:[n:16](-[C:14]):[n:18]:[n:20]:1
C-C-Cl.[H]-N(-C)-C>>C-C-N(-C)-C,[C:19]-[C:21]-[Cl:22].[C:5]-[N:6](-[#1:1006])-[C:4]>>[C:5]-[N:6](-[C:21]-[C:19])-[C:4]
[H]-N(-C)-C.[H]-O-C(-c)=O>>c-C(=O)-N(-C)-C,[#1:1033]-[O:33]-[C:30](-[c:25])=[O:32].[C:11]-[N:12](-[#1:1012])-[C:13]>>[C:11]-[N:12](-[C:13])-[C:30](-[c:25])=[O:32]
c-C=O>>[H]-C(-[H])-c,[c:8]-[C:9]=[O:10]>>[c:8]-[C:9](-[#1:2009])-[#1:3009]
c-N(=O)-O.c-N(=O)-O>>[H]-N(-[H])-c.[H]-N(-[H])-c,[c:9]-[N&+:13](=[O:31])-[O&-:32].[c:28]-[N&+:30](=[O:33])-[O&-:34]>>[c:9]-[N:13](-[#1:1013])-[#1:2013].[c:28]-[N:30](-[#1:1030])-[#1:2030]
[H]-O-C(=O)-C(-[H])(-[H])-N(-[H])-C(-c)=O.c-C=O>>c-C=C1-N=C(-c)-O-C-1=O,[#1:1020]-[O:20]-[C:17](-[C:15](-[#1:1015])(-[#1:2015])-[N:11](-[#1:1011])-[C:8](-[c:7])=[O:12])=[O:18].[c:1]-[C:4]=[O:19]>>[c:1]-[C:4]=[C:15]1-[N:11]=[C:8](-[c:7])-[O:12]-[C:17]-1=[O:18]
[H]-O-C(-C)=O.[H]-c(:c):c>>c:c(:c)-C(-C)=O,[#1:1028]-[O:28]-[C:21](-[C:18])=[O:25].[c:14]:[c:16](-[#1:1016]):[c:19]>>[c:14]:[c:16](:[c:19])-[C:21](=[O:25])-[C:18]
[H]-N(-C)-C.[H]-O-C(-C)=O>>C-C(=O)-N(-C)-C,[#1:1034]-[O:34]-[C:20](-[C:19])=[O:21].[C:27]-[N:31](-[#1:1031])-[C:29]>>[C:19]-[C:20](=[O:21])-[N:31](-[C:27])-[C:29]
[H]-C(-[H])(-[H])-C(-[H])(-[H])-O-C(-C)=O>>[H]-O-C(-[H])(-[H])-C,[#1:1014]-[C:14](-[#1:2014])(-[#1:3014])-[C:15](-[#1:1015])(-[#1:2015])-[O:16]-[C:12](-[C:8])=[O:13]>>[C:8]-[C:12](-[#1:1012])(-[#1:2012])-[O:13]-[#1:1013]
[H]-C(-[H])(-[H])-C(=O)-O-C>>[H]-O-C,[#1:1021]-[C:21](-[#1:2021])(-[#1:3021])-[C:22](=[O:23])-[O:15]-[C:13]>>[C:13]-[O:15]-[#1:1015]
[H]-c(:c):n.c-C(=O)-Cl>>c:c(:n)-C(-c)=O,[c:1]-[C:2](-[Cl:39])=[O:5].[n:18]:[c:26](-[#1:1026]):[c:27]>>[c:1]-[C:2](=[O:5])-[c:26](:[n:18]):[c:27]
[H]-N-C.c:c(:c)-Cl>>c:c(:c)-N-C,[C:15]-[N:19]-[#1:2019].[Cl:27]-[c:3](:[c:1]):[c:7]>>[C:15]-[N:19]-[c:3](:[c:1]):[c:7]
[H]-C(-[H])(-[H])-C(-[H])(-[H])-O-C(-C)=O>>[H]-N(-[H])-N(-[H])-C(-C)=O,[#1:1025]-[C:25](-[#1:2025])(-[#1:3025])-[C:26](-[#1:1026])(-[#1:2026])-[O:27]-[C:17](-[C:11])=[O:22]>>[#1:1028]-[N:28](-[#1:2028])-[N:29](-[#1:1029])-[C:17](-[C:11])=[O:22]
[H]-c(:c):s.[H]-c(:c):s>>c:c(:s)-Br.c:c(:s)-Br,[c:9]:[c:10](-[#1:1010]):[s:6].[s:4]:[c:8](-[#1:1008]):[c:7]>>[c:9]:[c:10](-[Br:23]):[s:6].[s:4]:[c:8](-[Br:24]):[c:7]
[H]-O-B(-O-[H])-c(:c):s.c:c(:c)-Br>>c:c(:c)-c(:c):s,[#1:1018]-[O:18]-[B:19](-[O:20]-[#1:1020])-[c:12](:[s:13]):[c:14].[c:1]:[c:2](-[Br:17]):[c:5]>>[c:1]:[c:2](-[c:12](:[s:13]):[c:14]):[c:5]
[H]-O-C-C>>C-C-I,[#1:1013]-[O:13]-[C:9]-[C:5]>>[C:5]-[C:9]-[I:14]
[H]-C(-C(-C)=O)-C(-[H])-C(-C)=O.[H]-N(-[H])-C>>C-c1:c:c:c(-C):n:1-C,[C:2](-[#1:2002])(-[C:1](=[O:16])-[C:3])-[C:4](-[#1:2004])-[C:5](=[O:17])-[C:6].[C:8]-[N:11](-[#1:1011])-[#1:2011]>>[c:2]1:[c:1](-[C:3]):[n:11](-[C:8]):[c:5](-[C:6]):[c:4]:1
[H]-S-C.[H]-S-C>>C-S-S-C,[#1:1007]-[S:7]-[C:6].[#1:1002]-[S:2]-[C:1]>>[C:1]-[S:2]-[S:7]-[C:6]
[H]-C(-[H])(-[H])-N(-C=O)-C(-[H])(-[H])-[H].[H]-c(:c):n>>c:c(:n)-C=O,[#1:1012]-[C:12](-[#1:2012])(-[#1:3012])-[N:13](-[C:14](-[#1:1014])(-[#1:2014])-[#1:3014])-[C:10]=[O:11].[n:3]:[c:7](:[c:5])-[#1:1007]>>[n:3]:[c:7](:[c:5])-[C:10]=[O:11]
C=O.[H]-N(-C)-C.[H]-c(:c):c>>c:c(:c)-C-N(-C)-C,[C:10]-[N:12](-[#1:1012])-[C:13].[C:1]=[O:23].[c:2]:[c:4](-[#1:1004]):[c:7]>>[C:1](-[c:4](:[c:2]):[c:7])-[N:12](-[C:10])-[C:13]
c-C(-C)=O>>[H]-O-N=C(-c)-C,[C:9]-[C:11](=[O:31])-[c:13]>>[#1:1032]-[O:32]-[N:33]=[C:11](-[C:9])-[c:13]
C-C(=O)-Cl.[H]-c(:c):n>>c:c(:n)-C(-C)=O,[C:21]-[C:22](-[Cl:28])=[O:25].[c:15]:[c:17](-[#1:1017]):[n:12]>>[c:15]:[c:17](-[C:22](-[C:21])=[O:25]):[n:12]
C-C-Cl.[H]-O-c>>C-C-O-c,[C:17]-[C:18]-[Cl:21].[c:6]-[O:12]-[#1:1012]>>[c:6]-[O:12]-[C:18]-[C:17]
[H]-c1:c(-[H]):c(-[H]):c2-C(=O)-N(-C)-C(=O)-c:2:c:1-[H]>>[H]-N(-[H])-C,[#1:1009]-[c:9]1:[c:10](-[#1:1010]):[c:11](-[#1:1011]):[c:12]2:[c:13](:[c:14]:1-[#1:1014])-[C:15](=[O:16])-[N:1](-[C:2])-[C:17]-2=[O:18]>>[#1:1001]-[N:1](-[#1:2001])-[C:2]
[H]-C(-[H])(-[H])-C(-O-C(-C)=O)(-C(-[H])(-[H])-[H])-C(-[H])(-[H])-[H]>>[H]-O-C(-C)=O,[#1:1035]-[C:35](-[#1:2035])(-[#1:3035])-[C:36](-[O:37]-[C:24](-[C:21])=[O:26])(-[C:38](-[#1:1038])(-[#1:2038])-[#1:3038])-[C:39](-[#1:1039])(-[#1:2039])-[#1:3039]>>[#1:1040]-[O:40]-[C:24](-[C:21])=[O:26]
[H]-N(-C)-C.c:c(:c)-Cl>>c:c(:c)-N(-C)-C,[C:26]-[N:24](-[#1:1024])-[C:20].[c:1]:[c:2](-[Cl:28]):[c:5]>>[c:1]:[c:2](-[N:24](-[C:20])-[C:26]):[c:5]
[H]-n(:c):c.c-C-Cl>>c:n(:c)-C-c,[c:22]-[C:25]-[Cl:26].[c:5]:[n:11](-[#1:1011]):[c:12]>>[c:5]:[n:11](-[C:25]-[c:22]):[c:12]
[H]-O-c.c:c(:n)-Cl>>c:c(:n)-O-c,[c:15]-[O:18]-[#1:1018].[c:2]:[c:5](-[Cl:22]):[n:10]>>[c:2]:[c:5](-[O:18]-[c:15]):[n:10]
[H]-c(:c):c.c-C(=O)-Cl>>c:c(:c)-C(-c)=O,[c:1]-[C:2](-[Cl:15])=[O:5].[c:9]:[c:10](-[#1:1010]):[c:12]>>[c:1]-[C:2](=[O:5])-[c:10](:[c:9]):[c:12]
c-C(=O)-O>>[H]-C(-[H])(-c)-O,[c:3]-[C:8](=[O:23])-[O:14]>>[c:3]-[C:8](-[#1:1008])(-[#1:2008])-[O:14]
C=C-c>>[H]-C-C(-[H])-c,[c:29]-[C:30]=[C:31]>>[c:29]-[C:30](-[#1:2030])-[C:31]-[#1:3031]
[H]-c(:c):c(-[H]):n>>c:c(-Br):c(:n)-Br,[c:2]:[c:6](:[c:12](:[n:11])-[#1:1012])-[#1:1006]>>[c:2]:[c:6](:[c:12](:[n:11])-[Br:21])-[Br:22]
c:c(:n)-Cl>>[H]-N(-[H])-N(-[H])-c(:c):n,[n:5]:[c:9](-[Cl:13]):[c:7]>>[#1:1014]-[N:14](-[#1:2014])-[N:15](-[#1:1015])-[c:9](:[n:5]):[c:7]
C-C-Br.[H]-O-C>>C-C-O-C,[C:5]-[C:9]-[Br:35].[C:20]-[O:34]-[#1:1034]>>[C:5]-[C:9]-[O:34]-[C:20]
[H]-N-C.c-C(=O)-C(-Cl)(-Cl)-Cl>>C-N-C(-c)=O,[C:12]-[N:15]-[#1:2015].[c:2]-[C:1](-[C:17](-[Cl:18])(-[Cl:19])-[Cl:20])=[O:3]>>[c:2]-[C:1](=[O:3])-[N:15]-[C:12]
[H]-c(:c):n.c:c(:c)-Br>>c:c(:c)-c(:c):n,[c:9]:[c:11](-[Br:25]):[c:8].[n:18]:[c:21](-[#1:1021]):[c:23]>>[c:9]:[c:11](-[c:21](:[n:18]):[c:23]):[c:8]
[H]-N(-[H])-c.c-C(-C)=O>>c-N=C(-c)-C,[c:1]-[C:4](=[O:18])-[C:8].[c:11]-[N:14](-[#1:1014])-[#1:2014]>>[c:1]-[C:4](-[C:8])=[N:14]-[c:11]
[H]-O-B(-O-[H])-c(:c):c.c:c(:s)-Br>>c:c(:c)-c(:c):s,[#1:1028]-[O:28]-[B:29](-[O:30]-[#1:1030])-[c:26](:[c:21]):[c:23].[s:11]:[c:15](-[Br:27]):[c:16]>>[s:11]:[c:15](-[c:26](:[c:21]):[c:23]):[c:16]
[H]-C(-[H])(-[H])-C(-[H])(-[H])-O-C(-c)=O>>[H]-O-C(-[H])(-[H])-c,[#1:1015]-[C:15](-[#1:2015])(-[#1:3015])-[C:16](-[#1:1016])(-[#1:2016])-[O:17]-[C:13](-[c:10])=[O:14]>>[c:10]-[C:13](-[#1:1013])(-[#1:2013])-[O:14]-[#1:1014]
[H]-C(-[H])(-[H])-C(=O)-O-C.[H]-C(-[H])(-[H])-C(=O)-O-C.[H]-C(-[H])(-[H])-C(=O)-O-C.[H]-C(-[H])(-[H])-C(=O)-O-C>>[H]-O-C.[H]-O-C.[H]-O-C.[H]-O-C,[#1:1016]-[C:16](-[#1:2016])(-[#1:3016])-[C:17](=[O:18])-[O:4]-[C:1].[C:2]-[O:6]-[C:19](=[O:20])-[C:21](-[#1:1021])(-[#1:2021])-[#1:3021].[C:11]-[O:13]-[C:22](=[O:23])-[C:24](-[#1:1024])(-[#1:2024])-[#1:3024].[C:3]-[O:8]-[C:25](=[O:26])-[C:27](-[#1:1027])(-[#1:2027])-[#1:3027]>>[C:1]-[O:4]-[#1:1004].[C:2]-[O:6]-[#1:1006].[C:11]-[O:13]-[#1:1013].[C:3]-[O:8]-[#1:1008]
c-C#N>>[H]-n1:n:n:n:c:1-c,[c:18]-[C:21]#[N:23]>>[#1:1024]-[n:24]1:[n:25]:[n:26]:[n:23]:[c:21]:1-[c:18]
[H]-O-C.[H]-O-C.[H]-O-C(-C)=O.[H]-O-C(-C)=O>>C-O-C(-C)=O.C-O-C(-C)=O,[#1:1026]-[O:26]-[C:4](-[C:1])=[O:6].[C:2]-[C:5](-[O:27]-[#1:1027])=[O:7].[C:15]-[O:16]-[#1:1016].[C:24]-[O:25]-[#1:1025]>>[C:1]-[C:4](=[O:6])-[O:16]-[C:15].[C:2]-[C:5](=[O:7])-[O:25]-[C:24]
C-C-Br.[H]-S-c>>C-C-S-c,[C:22](-[Br:26])-[C:20].[c:4]-[S:10]-[#1:1010]>>[c:4]-[S:10]-[C:22]-[C:20]
